Overall Rank,Name,Position,Team,Bye,Position Rank,Tier
1,Christian McCaffrey,RB,SF,9,1,1
2,CeeDee Lamb,WR,DAL,7,1,1
3,Tyreek Hill,WR,MIA,6,2,1
4,Ja'Marr Chase,WR,CIN,12,3,1
5,Justin Jefferson,WR,MIN,6,4,1
6,Breece Hall,RB,NYJ,12,2,1
7,Bijan Robinson,RB,ATL,12,3,1
8,Amon-Ra St. Brown,WR,DET,5,5,1
9,A.J. Brown,WR,PHI,5,6,1
10,Garrett Wilson,WR,NYJ,12,7,1
11,Jonathan Taylor,RB,IND,14,4,1
12,Puka Nacua,WR,LAR,6,8,1
13,Jahmyr Gibbs,RB,DET,5,5,1
14,Saquon Barkley,RB,PHI,5,6,1
15,Derrick Henry,RB,BAL,14,7,1
16,Kyren Williams,RB,LAR,6,8,1
17,Marvin Harrison Jr.,WR,ARI,11,9,2
18,Deebo Samuel,WR,SF,9,10,2
19,Mike Evans,WR,TB,11,11,2
20,Josh Allen,QB,BUF,12,1,1
21,Brandon Aiyuk,WR,SF,9,12,2
22,Chris Olave,WR,NO,12,13,2
23,Jalen Hurts,QB,PHI,5,2,1
24,Travis Etienne,RB,JAC,12,9,2
25,Nico Collins,WR,HOU,14,14,2
26,Drake London,WR,ATL,12,15,2
27,Davante Adams,WR,LV,10,16,2
28,DK Metcalf,WR,SEA,10,17,3
29,Patrick Mahomes,QB,KC,6,3,1
30,Sam LaPorta,TE,DET,5,1,1
31,Isiah Pacheco,RB,KC,6,10,2
32,Travis Kelce,TE,KC,6,2,1
33,Jaylen Waddle,WR,MIA,6,18,3
34,Lamar Jackson,QB,BAL,14,4,1
35,D.J. Moore,WR,CHI,7,19,3
36,De'Von Achane,RB,MIA,6,11,2
37,Amari Cooper,WR,CLE,10,20,3
38,Cooper Kupp,WR,LAR,6,21,3
39,DeVonta Smith,WR,PHI,5,22,3
40,Josh Jacobs,RB,GB,10,12,2
41,Joe Mixon,RB,HOU,14,13,2
42,Tee Higgins,WR,CIN,12,23,3
43,James Cook,RB,BUF,12,14,2
44,Kenneth Walker III,RB,SEA,10,15,2
45,Malik Nabers,WR,NYG,11,24,3
46,Rachaad White,RB,TB,11,16,2
47,George Pickens,WR,PIT,9,25,4
48,Anthony Richardson,QB,IND,14,5,1
49,Michael Pittman Jr.,WR,IND,14,26,4
50,C.J. Stroud,QB,HOU,14,6,1
51,Mark Andrews,TE,BAL,14,3,1
52,Tank Dell,WR,HOU,14,27,4
53,Stefon Diggs,WR,HOU,14,28,4
54,David Montgomery,RB,DET,5,17,3
55,Kyler Murray,QB,ARI,11,7,1
56,Joe Burrow,QB,CIN,12,8,1
57,Zay Flowers,WR,BAL,14,29,4
58,Trey McBride,TE,ARI,11,4,1
59,Dak Prescott,QB,DAL,7,9,2
60,Alvin Kamara,RB,NO,12,18,3
61,Christian Kirk,WR,JAC,12,30,4
62,James Conner,RB,ARI,11,19,3
63,Terry McLaurin,WR,WSH,14,31,4
64,Aaron Jones,RB,MIN,6,20,3
65,Rhamondre Stevenson,RB,NE,14,21,3
66,Jordan Love,QB,GB,10,10,2
67,Najee Harris,RB,PIT,9,22,3
68,Calvin Ridley,WR,TEN,5,32,4
69,Zamir White,RB,LV,10,23,3
70,Raheem Mostert,RB,MIA,6,24,3
71,George Kittle,TE,SF,9,5,1
72,Jayden Reed,WR,GB,10,33,5
73,Brock Purdy,QB,SF,9,11,2
74,D'Andre Swift,RB,CHI,7,25,4
75,Keenan Allen,WR,CHI,7,34,5
76,Kyle Pitts,TE,ATL,12,6,1
77,Diontae Johnson,WR,CAR,11,35,5
78,Chris Godwin,WR,TB,11,36,5
