Rank,Team,Name,Position,Games,ADP,Bye,SOS,InjuryRisk,Floor Proj,Consensus Proj,DS Proj,CeilingProj,Value
1,PHI,Saquon Barkley,RB,17,1.03,9,-25%,58%,249.7,284,301,346,100
2,CIN,Ja'Marr Chase,WR,17,1.01,10,2%,75%,235.4,270,287,330.2,99.3
3,ATL,Bijan Robinson,RB,17,1.02,5,-1%,42%,253.7,280,299,340.3,98.6
4,DET,Jahmyr Gibbs,RB,17,1.04,8,-14%,63%,231.1,269,275,343.8,86.6
5,MIN,Justin Jefferson,WR,17,1.05,6,17%,67%,224.8,250,261,321.5,86.2
6,DAL,CeeDee Lamb,WR,17,1.06,10,8%,50%,224.6,232,271,311.2,86.1
7,SF,Christian McCaffrey,RB,17,1.09,14,10%,64%,204.5,248,288,334.1,86.1
8,BAL,Derrick Henry,RB,17,1.07,7,-9%,29%,231.3,263,275,322.2,83.7
9,LAR,Puka Nacua,WR,17,1.08,8,5%,68%,218.8,230,260,309.9,81.4
10,IND,Jonathan Taylor,RB,17,2.07,11,11%,65%,228.9,236,263,334.1,78.7
11,LVR,Ashton Jeanty,RB,17,1.1,8,2%,0%,225.7,239,262,330.7,78.3
12,HOU,Nico Collins,WR,17,2.02,6,4%,82%,208.1,232,254,299.5,77.1
13,NYG,Malik Nabers,WR,17,2.01,14,-3%,29%,209.1,230,249,298.8,75.2
14,JAC,Brian Thomas Jr.,WR,17,2.04,8,14%,30%,206.4,220,249,300.9,74.3
15,MIA,De'Von Achane,RB,17,1.12,12,2%,83%,204.4,247,259,287.2,68.6
16,PHI,A.J. Brown,WR,17,2.1,9,-12%,71%,207.5,216,236,285.3,67.4
17,DET,Amon-Ra St. Brown,WR,17,1.11,8,7%,40%,208.9,219,225,289.7,65.1
18,ATL,Drake London,WR,17,2.09,5,14%,87%,202.4,213,230,271.4,62.3
19,GB,Josh Jacobs,RB,17,2.03,5,-1%,80%,206.9,243,241,279,60.9
20,CIN,Tee Higgins,WR,17,3.07,10,2%,89%,190.3,210,232,264.5,60.3
21,LAR,Kyren Williams,RB,17,2.11,8,-10%,89%,203.9,230,232,294.3,59.4
22,TB,Bucky Irving,RB,17,2.05,9,-14%,29%,195.1,236,241,267.4,57.6
23,BAL,Lamar Jackson,QB,17,2.06,7,1%,43%,339.8,376,382,416.1,56.9
24,CIN,Chase Brown,RB,17,2.12,10,8%,24%,194.4,208,234,295.2,56.7
25,NYJ,Breece Hall,RB,17,3.05,9,-8%,48%,189.9,209,229,304.3,56.2
26,MIA,Tyreek Hill,WR,17,3.06,12,-4%,59%,167.4,198,217,284.8,54.9
27,LVR,Brock Bowers,TE,17,3.04,8,22%,29%,174.2,193,215,234.4,54.5
28,WAS,Jayden Daniels,QB,17,3.02,12,-8%,28%,334.1,361,384,414.8,54
29,BUF,Josh Allen,QB,17,2.08,7,-3%,12%,337.3,370,375,419.8,53
30,LAC,Ladd McConkey,WR,17,3.01,12,4%,55%,184.7,210,208,269.8,53
31,SEA,Kenneth Walker III,RB,17,4.08,8,-3%,42%,192.9,201,232,271.9,51.4
32,PHI,Jalen Hurts,QB,17,3.09,9,-16%,56%,333.2,356,379,412.7,50.9
33,ARI,Trey McBride,TE,17,3.1,8,-14%,47%,169.9,188,207,221.7,50.5
34,BUF,James Cook,RB,17,3.03,7,15%,32%,193.4,218,230,262.4,50.4
35,NO,Alvin Kamara,RB,17,4.01,11,12%,88%,178,203,234,264.7,49.4
36,TB,Mike Evans,WR,17,4.02,9,11%,82%,178.5,205,215,240.9,49.3
37,ARI,James Conner,RB,17,5.01,8,10%,88%,166.3,205,231,254.1,46
38,LAR,Davante Adams,WR,17,3.12,8,5%,44%,169.9,202,205,245.6,45.8
39,SF,George Kittle,TE,17,3.11,14,-16%,81%,157.4,188,185,225.9,45.1
40,LAC,Omarion Hampton,RB,17,4.09,12,-12%,0%,163.6,186,213,297.5,45
41,CAR,Chuba Hubbard,RB,17,4.04,14,40%,30%,177.3,197,224,260.3,44.9
42,KC,Rashee Rice,WR,15,4.1,10,1%,37%,141.1,169,207,263.5,42.4
43,ARI,Marvin Harrison Jr.,WR,17,4.07,8,-8%,43%,168.6,192,194,248.1,41.5
44,CHI,D.J. Moore,WR,17,5.03,5,-17%,45%,169.2,183,199,242.9,41.3
45,WAS,Terry McLaurin,WR,17,4.06,12,-3%,43%,172.6,189,198,232.1,40.1
46,PIT,D.K. Metcalf,WR,17,5.04,5,-7%,31%,173.7,185,197,234.9,39.9
47,NYJ,Garrett Wilson,WR,17,4.03,9,-3%,38%,175,180,190,249.2,39.6
48,SEA,Jaxon Smith-Njigba,WR,17,3.08,8,0%,40%,175.7,184,193,229.8,38.1
49,KC,Xavier Worthy,WR,17,6.01,10,1%,37%,163.2,175,190,239.1,36.4
50,MIA,Jaylen Waddle,WR,17,7.1,12,-4%,55%,157.7,163,195,237.5,35.9
51,PHI,DeVonta Smith,WR,17,5.12,9,-12%,82%,176.1,179,187,226.7,35.1
52,CAR,Tetairoa McMillan,WR,17,6.09,14,1%,0%,154.6,161,191,242.5,34.8
53,DEN,Courtland Sutton,WR,17,4.12,12,-5%,70%,169.9,178,193,216.3,34.7
54,CIN,Joe Burrow,QB,17,4.05,10,11%,63%,316.3,343,368,382.5,34.6
55,DET,Jameson Williams,WR,17,5.08,8,7%,43%,149.2,163,189,243.6,34
56,DET,Sam LaPorta,TE,17,5.05,8,-20%,54%,143.4,148,158,208,33.1
57,BAL,Zay Flowers,WR,17,6.02,7,8%,36%,169.2,170,192,213.4,32.9
58,DAL,George Pickens,WR,17,6.08,10,8%,35%,147.1,167,189,230,32.1
59,DET,David Montgomery,RB,17,5.02,8,-14%,81%,161.5,174,199,239.3,30.8
60,JAC,Travis Hunter,WR,17,7.02,8,14%,0%,131.5,155,178,254,29.9
61,KC,Isiah Pacheco,RB,17,6.03,10,-27%,90%,140,153,197,244.5,28.2
62,TEN,Calvin Ridley,WR,17,6.1,10,-15%,29%,148.7,164,184,203.8,27.7
63,HOU,Joe Mixon,RB,17,4.11,6,-16%,68%,128.7,187,189,247.9,27.5
64,MIN,Aaron Jones,RB,17,5.07,6,-16%,88%,147.1,171,189,233.8,27.5
65,IND,Zaire Franklin,LB,17,,11,12%,0%,120.2,154,154,184.9,27.3
66,TEN,Tony Pollard,RB,17,7.03,10,10%,35%,151.5,172,183,233.7,26.9
67,CHI,D'Andre Swift,RB,17,5.06,5,10%,67%,131.8,174,186,237.6,26.7
68,NE,TreVeyon Henderson,RB,17,5.1,14,11%,0%,139.3,162,181,247.8,26.5
69,BAL,Mark Andrews,TE,17,8.01,7,2%,61%,127.9,134,145,193.3,26.4
70,KC,Travis Kelce,TE,17,6.12,10,16%,36%,117.5,140,153,178.6,26.4
71,NO,Chris Olave,WR,17,7.05,11,1%,69%,135.6,152,176,225.5,26.3
