Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,Value
1,Saquon Barkley,RB,PHI,9,1,999,100.0
2,Ja'Marr Chase,WR,CIN,10,1,999,99.3
3,Bijan Robinson,RB,ATL,5,2,999,98.6
4,Jahmyr Gibbs,RB,DET,8,3,999,86.6
5,Justin Jefferson,WR,MIN,6,2,999,86.2
6,CeeDee Lamb,WR,DAL,10,3,999,86.1
7,Christian McCaffrey,RB,SF,14,4,999,86.1
8,Derrick Henry,RB,BAL,7,5,999,83.7
9,Puka Nacua,WR,LAR,8,4,999,81.4
10,Jonathan Taylor,RB,IND,11,6,999,78.7
11,Ashton Jeanty,RB,LVR,8,7,999,78.3
12,Nico Collins,WR,HOU,6,5,999,77.1
13,Malik Nabers,WR,NYG,14,6,999,75.2
14,Brian Thomas Jr.,WR,JAC,8,7,999,74.3
15,De'Von Achane,RB,MIA,12,8,999,68.6
16,A.J. Brown,WR,PHI,9,8,999,67.4
17,Amon-Ra St. Brown,WR,DET,8,9,999,65.1
18,Drake London,WR,ATL,5,10,999,62.3
19,Josh Jacobs,RB,GB,5,9,999,60.9
20,Tee Higgins,WR,CIN,10,11,999,60.3
21,Kyren Williams,RB,LAR,8,10,999,59.4
22,Bucky Irving,RB,TB,9,11,999,57.6
23,Lamar Jackson,QB,BAL,7,1,999,56.9
24,Chase Brown,RB,CIN,10,12,999,56.7
25,Breece Hall,RB,NYJ,9,13,999,56.2
26,Tyreek Hill,WR,MIA,12,12,999,54.9
27,Brock Bowers,TE,LVR,8,1,999,54.5
28,Jayden Daniels,QB,WAS,12,2,999,54.0
29,Josh Allen,QB,BUF,7,3,999,53.0
30,Ladd McConkey,WR,LAC,12,13,999,53.0
31,Kenneth Walker III,RB,SEA,8,14,999,51.4
32,Jalen Hurts,QB,PHI,9,4,999,50.9
33,Trey McBride,TE,ARI,8,2,999,50.5
34,James Cook,RB,BUF,7,15,999,50.4
35,Alvin Kamara,RB,NO,11,16,999,49.4
36,Mike Evans,WR,TB,9,14,999,49.3
37,James Conner,RB,ARI,8,17,999,46.0
38,Davante Adams,WR,LAR,8,15,999,45.8
39,George Kittle,TE,SF,14,3,999,45.1
40,Omarion Hampton,RB,LAC,12,18,999,45.0
41,Chuba Hubbard,RB,CAR,14,19,999,44.9
42,Rashee Rice,WR,KC,10,16,999,42.4
43,Marvin Harrison Jr.,WR,ARI,8,17,999,41.5
44,D.J. Moore,WR,CHI,5,18,999,41.3
45,Terry McLaurin,WR,WAS,12,19,999,40.1
46,D.K. Metcalf,WR,PIT,5,20,999,39.9
47,Garrett Wilson,WR,NYJ,9,21,999,39.6
48,Jaxon Smith-Njigba,WR,SEA,8,22,999,38.1
49,Xavier Worthy,WR,KC,10,23,999,36.4
50,Jaylen Waddle,WR,MIA,12,24,999,35.9
51,DeVonta Smith,WR,PHI,9,25,999,35.1
52,Tetairoa McMillan,WR,CAR,14,26,999,34.8
53,Courtland Sutton,WR,DEN,12,27,999,34.7
54,Joe Burrow,QB,CIN,10,5,999,34.6
55,Jameson Williams,WR,DET,8,28,999,34.0
56,Sam LaPorta,TE,DET,8,4,999,33.1
57,Zay Flowers,WR,BAL,7,29,999,32.9
58,George Pickens,WR,DAL,10,30,999,32.1
59,David Montgomery,RB,DET,8,20,999,30.8
60,Travis Hunter,WR,JAC,8,31,999,29.9
61,Isiah Pacheco,RB,KC,10,21,999,28.2
62,Calvin Ridley,WR,TEN,10,32,999,27.7
63,Joe Mixon,RB,HOU,6,22,999,27.5
64,Aaron Jones,RB,MIN,6,23,999,27.5
66,Tony Pollard,RB,TEN,10,24,999,26.9
67,D'Andre Swift,RB,CHI,5,25,999,26.7
68,TreVeyon Henderson,RB,NE,14,26,999,26.5
69,Mark Andrews,TE,BAL,7,5,999,26.4
70,Travis Kelce,TE,KC,10,6,999,26.4
71,Chris Olave,WR,NO,11,33,999,26.3
72,Deebo Samuel,WR,WAS,12,34,999,26.2
73,Chris Godwin,WR,TB,9,35,999,26.2
74,T.J. Hockenson,TE,MIN,6,7,999,26.0
76,David Njoku,TE,CLE,9,8,999,25.8
77,Jakobi Meyers,WR,LVR,8,36,999,24.7
78,Jauan Jennings,WR,SF,14,37,999,24.7
79,Jayden Reed,WR,GB,5,38,999,24.6
80,Jordan Addison,WR,MIN,6,39,999,24.4
81,RJ Harvey,RB,DEN,12,27,999,24.3
82,Rome Odunze,WR,CHI,5,40,999,24.2
84,Jerry Jeudy,WR,CLE,9,41,999,23.2
87,Brian Robinson Jr.,RB,WAS,12,28,999,22.5
89,Khalil Shakir,WR,BUF,7,42,999,22.1
90,Kaleb Johnson,RB,PIT,5,29,999,22.1
91,Ricky Pearsall,WR,SF,14,43,999,19.7
92,Tucker Kraft,TE,GB,5,9,999,19.3
93,Dalton Kincaid,TE,BUF,7,10,999,19.0
94,Patrick Mahomes,QB,KC,10,6,999,18.8
98,Stefon Diggs,WR,NE,14,44,999,18.0
102,Jaylen Warren,RB,PIT,5,30,999,17.4
103,Dallas Goedert,TE,PHI,9,11,999,17.2
105,Tyler Warren,TE,IND,11,12,999,17.0
106,Josh Downs,WR,IND,11,45,999,16.7
108,Jake Ferguson,TE,DAL,10,13,999,16.4
109,Evan Engram,TE,DEN,12,14,999,15.9
111,Darnell Mooney,WR,ATL,5,46,999,15.6
112,Michael Pittman Jr.,WR,IND,11,47,999,15.4
113,Travis Etienne,RB,JAC,8,31,999,15.1
114,Keon Coleman,WR,BUF,7,48,999,14.8
115,Rashid Shaheed,WR,NO,11,49,999,14.8
116,Matthew Golden,WR,GB,5,50,999,14.8
117,Jordan Mason,RB,MIN,6,32,999,14.7
119,Cameron Skattebo,RB,NYG,14,33,999,14.2
121,Cooper Kupp,WR,SEA,8,51,999,13.2
122,Quinshon Judkins,RB,CLE,9,34,999,13.2
124,Tyrone Tracy Jr.,RB,NYG,14,35,999,12.8
126,Baker Mayfield,QB,TB,9,7,999,12.6
128,Bo Nix,QB,DEN,12,8,999,12.2
129,Zach Ertz,TE,WAS,12,15,999,12.2
130,Colston Loveland,TE,CHI,5,16,999,12.2
131,Justin Fields,QB,NYJ,9,9,999,12.0
135,Isaiah Likely,TE,BAL,7,17,999,11.8
137,Kyler Murray,QB,ARI,8,10,999,11.3
139,Brandon Aiyuk,WR,SF,14,52,999,11.3
142,Kyle Pitts,TE,ATL,5,18,999,10.9
143,Hunter Henry,TE,NE,14,19,999,10.9
144,Marquise Brown,WR,KC,10,53,999,10.9
146,Tyjae Spears,RB,TEN,10,36,999,10.7
156,Caleb Williams,QB,CHI,5,11,999,9.7
157,Tank Bigsby,RB,JAC,8,37,999,9.7
158,Jonnu Smith,TE,PIT,5,20,999,9.6
159,Chigoziem Okonkwo,TE,TEN,10,21,999,9.6
160,Javonte Williams,RB,DAL,10,38,999,9.5
161,Austin Ekeler,RB,WAS,12,39,999,9.5
162,Mike Gesicki,TE,CIN,10,22,999,9.2
165,J.K. Dobbins,RB,DEN,12,40,999,9.0
167,Christian Kirk,WR,HOU,6,54,999,8.8
168,Cade Otton,TE,TB,9,23,999,8.8
171,Jayden Higgins,WR,HOU,6,55,999,8.5
172,Justin Herbert,QB,LAC,12,12,999,8.3
178,Brandon Aubrey,K,DAL,10,1,999,7.4
179,Dalton Schultz,TE,HOU,6,24,999,7.1
180,Emeka Egbuka,WR,TB,9,56,999,7.1
181,Tre Harris,WR,LAC,12,57,999,7.1
183,Rhamondre Stevenson,RB,NE,14,41,999,6.9
184,Buffalo Bills,DST,BUF,7,1,999,6.8
185,Dak Prescott,QB,DAL,10,13,999,6.7
186,Romeo Doubs,WR,GB,5,58,999,6.7
187,Brenton Strange,TE,JAC,8,25,999,6.7
192,Brock Purdy,QB,SF,14,14,999,6.2
193,Pat Freiermuth,TE,PIT,5,26,999,6.1
196,Juwan Johnson,TE,NO,11,27,999,5.9
197,Baltimore Ravens,DST,BAL,7,2,999,5.9
201,Najee Harris,RB,LAC,12,42,999,5.7
204,Dallas Cowboys,DST,DAL,10,3,999,5.6
205,Rachaad White,RB,TB,9,43,999,5.3
206,Denver Broncos,DST,DEN,12,4,999,5.3
207,Quentin Johnston,WR,LAC,12,59,999,5.1
208,Darren Waller,TE,MIA,12,28,999,5.1
209,Cameron Dicker,K,LAC,12,2,999,5.1
210,Trevor Lawrence,QB,JAC,8,15,999,5.0
211,Houston Texans,DST,HOU,6,5,999,5.0
212,Drake Maye,QB,NE,14,16,999,4.7
213,Bhayshul Tuten,RB,JAC,8,44,999,4.5
214,Zach Charbonnet,RB,SEA,8,45,999,4.4
215,Marvin Mims Jr.,WR,DEN,12,60,999,4.3
216,Jared Goff,QB,DET,8,17,999,4.3
217,Joshua Palmer,WR,BUF,7,61,999,4.3
218,Rashod Bateman,WR,BAL,7,62,999,4.2
219,Green Bay Packers,DST,GB,5,6,999,4.2
220,Jordan Love,QB,GB,5,18,999,4.0
221,Younghoe Koo,K,ATL,5,3,999,3.9
222,Luther Burden III,WR,CHI,5,63,999,3.8
223,Pittsburgh Steelers,DST,PIT,5,7,999,3.8
224,Kansas City Chiefs,DST,KC,10,8,999,3.7
225,San Francisco 49ers,DST,SF,14,9,999,3.6
226,Philadelphia Eagles,DST,PHI,9,10,999,3.6
227,Mason Taylor,TE,NYJ,9,29,999,3.5
228,Matt Gay,K,WAS,12,4,999,3.5
229,Jake Bates,K,DET,8,5,999,3.4
232,Jake Elliott,K,PHI,9,6,999,3.1
233,Cedric Tillman,WR,CLE,9,64,999,2.9
234,Brandon McManus,K,GB,5,7,999,2.9
235,Harrison Butker,K,KC,10,8,999,2.8
236,Ka'imi Fairbairn,K,HOU,6,9,999,2.7
237,New York Jets,DST,NYJ,9,11,999,2.5
243,Jaydon Blue,RB,DAL,10,46,999,1.4
245,Theo Johnson,TE,NYG,14,30,999,1.2
247,Cam Little,K,JAC,8,10,999,1.2
248,J.J. McCarthy,QB,MIN,6,19,999,1.1
250,Minnesota Vikings,DST,MIN,6,12,999,0.9
251,Cole Kmet,TE,CHI,5,31,999,0.8
252,Kyle Williams,WR,NE,14,65,999,0.7
253,Ray Davis,RB,BUF,7,47,999,0.6
255,Elijah Arroyo,TE,SEA,8,32,999,0.5
256,Tyler Allgeier,RB,ATL,5,48,999,0.4
257,Dylan Sampson,RB,CLE,9,49,999,0.4
258,C.J. Stroud,QB,HOU,6,20,999,0.3
260,Jerome Ford,RB,CLE,9,50,999,0.2
261,Adam Thielen,WR,CAR,14,66,999,0.1
263,Evan McPherson,K,CIN,10,11,999,0.1
264,Nick Chubb,RB,HOU,6,51,999,0.0
268,Seattle Seahawks,DST,SEA,8,13,999,0.0
269,Daniel Carlson,K,LVR,8,12,999,0.0
270,Chase McLaughlin,K,TB,9,13,999,0.0
271,Xavier Legette,WR,CAR,14,67,999,-0.1
273,Tyler Loop,K,BAL,7,14,999,-0.1
274,Tampa Bay Buccaneers,DST,TB,9,14,999,-0.2
275,Los Angeles Rams,DST,LAR,8,15,999,-0.3
276,Cleveland Browns,DST,CLE,9,16,999,-0.3
278,Jack Bech,WR,LVR,8,68,999,-0.5
280,Michael Wilson,WR,ARI,8,69,999,-0.7
282,Jason Sanders,K,MIA,12,15,999,-0.7
283,Detroit Lions,DST,DET,8,17,999,-0.8
284,Roschon Johnson,RB,CHI,5,52,999,-1.0
285,Keenan Allen,WR,UNS,18,70,999,-1.0
287,Trey Benson,RB,ARI,8,53,999,-1.2
288,Wan'Dale Robinson,WR,NYG,14,71,999,-1.2
289,Isaac Guerendo,RB,SF,14,54,999,-1.3
292,New York Giants,DST,NYG,14,18,999,-1.5
293,Wil Lutz,K,DEN,12,16,999,-1.5
294,Diontae Johnson,WR,CLE,9,72,999,-1.6
298,New England Patriots,DST,NE,14,19,999,-1.8
299,Jaylen Wright,RB,MIA,12,55,999,-1.9
302,Amari Cooper,WR,UNS,18,73,999,-2.0
304,Joshua Karty,K,LAR,8,17,999,-2.0
305,Tua Tagovailoa,QB,MIA,12,21,999,-2.2
306,Darius Slayton,WR,NYG,14,74,999,-2.3
312,Jalen Coker,WR,CAR,14,75,999,-2.8
315,Chad Ryland,K,ARI,8,18,999,-2.9
319,Demario Douglas,WR,NE,14,76,999,-3.4
321,Noah Fant,TE,UNS,18,33,999,-3.5
328,Chris Boswell,K,PIT,5,19,999,-3.7
329,Braelon Allen,RB,NYJ,9,56,999,-3.8
331,Washington Commanders,DST,WAS,12,20,999,-4.1
333,Justice Hill,RB,BAL,7,57,999,-4.3
335,Indianapolis Colts,DST,IND,11,21,999,-4.3
336,Blake Corum,RB,LAR,8,58,999,-4.4
338,Bryce Young,QB,CAR,14,22,999,-4.6
339,Ja'Tavion Sanders,TE,CAR,14,34,999,-4.6
342,Miles Sanders,RB,DAL,10,59,999,-4.7
344,Elijah Mitchell,RB,KC,10,60,999,-4.8
345,Chicago Bears,DST,CHI,5,22,999,-4.9
347,MarShawn Lloyd,RB,GB,5,61,999,-5.1
348,Alec Pierce,WR,IND,11,77,999,-5.1
349,Rico Dowdle,RB,CAR,14,62,999,-5.1
350,Tyler Bass,K,BUF,7,20,999,-5.1
351,Jalen McMillan,WR,TB,9,78,999,-5.2
356,Kendre Miller,RB,NO,11,63,999,-5.7
357,Jason Myers,K,SEA,8,21,999,-5.7
359,Tyler Higbee,TE,LAR,8,35,999,-5.9
360,Kareem Hunt,RB,KC,10,64,999,-5.9
361,Los Angeles Chargers,DST,LAC,12,23,999,-5.9
366,Cairo Santos,K,CHI,5,22,999,-6.6
367,Geno Smith,QB,LVR,8,23,999,-6.7
368,Miami Dolphins,DST,MIA,12,24,999,-6.7
369,Dontayvion Wicks,WR,GB,5,79,999,-7.0
370,Terrance Ferguson,TE,LAR,8,36,999,-7.0
372,Arizona Cardinals,DST,ARI,8,25,999,-7.0
